"LURN_SAK","INCIDENT_DATE","STAT","STAT_DESC","STREET","CITY","ZIP","INCIDENT_ID","REPORTING_DISTRICT","SEQ","UNIT_ID","UNIT_NAME","DELETED"
18589306,"2018-05-24 05:30:00","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","3700 SANBORN AVE E","LYNWOOD","90262","918-07610-2112","2112","07610","CA01900V3","CENTURY","N"
18591590,"2018-05-24 08:00:00","095","GRAND THEFT VEHICLE (GTA): Motorcycle","32700 NANTASKET DR","RANCHO PALOS VERDES","90275","918-01973-1740","1740","01973","CA0190017","LOMITA","N"
18589196,"2018-05-24 10:07:00","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","3800 CARLIN AVE","LYNWOOD","90262","918-07604-2117","2117","07604","CA01900V3","CENTURY","N"
18589247,"2018-05-24 10:16:00","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","8700 BLUE CIR","ROSEMEAD","91770","918-06287-0530","0530","06287","CA0190005","TEMPLE","N"
18590279,"2018-05-24 11:45:00","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","1100 W AVENUE M","LANCASTER",,"918-10297-1126","1126","10297","CA0190024","LANCASTER","N"
18589752,"2018-05-24 11:55:00","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","6000 ATLANTIC BLVD","MAYWOOD",,"918-07819-0250","0250","07819","CA0190002","EAST LOS ANGELES","N"
18586985,"2018-05-24 13:10:00","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","10TH ST W AND AVENUE K","LANCASTER",,"918-07460-2607","2607","07460","CA01900W9","PALMDALE","N"
18589471,"2018-05-24 14:30:00","097","GRAND THEFT VEHICLE (GTA): Other Veh (Snowmobile, Golf Cart, Etc)","45100 TREVOR AVE","LANCASTER",,"918-10234-1132","1132","10234","CA0190024","LANCASTER","N"
18589754,"2018-05-24 14:30:00","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","2700 LEE ST","SOUTH EL MONTE","91733","918-06316-0560","0560","06316","CA0190005","TEMPLE","N"
18590333,"2018-05-24 15:05:00","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","5100 GRAYWOOD AVE","LAKEWOOD","90712","918-80115-1329","1329","80115","CA0190013","LAKEWOOD","N"
18589860,"2018-05-24 15:30:00","097","GRAND THEFT VEHICLE (GTA): Other Veh (Snowmobile, Golf Cart, Etc)","600 S ROSECRANS AVE","COMPTON",,"918-07280-2822","2822","07280","CA0190042","COMPTON","N"
18589720,"2018-05-24 16:30:00","090","GRAND THEFT VEHICLE (GTA): Cargo/Vehicle, laden with freight","3000 E PACIFIC COMMERCE DR","EAST RANCHO DOMINGUEZ","90221","918-05429-1692","1692","05429","CA0190016","CARSON","N"
18590619,"2018-05-24 17:52:30","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","3700 WORKMAN MILL RD","WHITTIER",,"918-03711-1571","1571","03711","CA0190015","PICO RIVERA","N"
18589734,"2018-05-24 18:00:00","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","110TH ST AND NORMANDIE AVE","LOS ANGELES",,"918-04053-0374","0374","04053","CA0190003","SOUTH LOS ANGELES","N"
18589787,"2018-05-24 18:15:00","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","88TH ST AND VERMONT AVE","LOS ANGELES",,"918-04054-0370","0370","04054","CA0190003","SOUTH LOS ANGELES","N"
18590028,"2018-05-24 22:50:00","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","8300 BELL AVE","LOS ANGELES","90001","918-07647-2175","2175","07647","CA01900V3","CENTURY","N"
18589971,"2018-05-24 22:50:00","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","38400 30TH ST E","PALMDALE",,"918-07618-2608","2608","07618","CA01900W9","PALMDALE","N"
18590135,"2018-05-25 00:52:30","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","13700 FLYNN ST","LA PUENTE",,"918-06914-1420","1420","06914","CA0190014","INDUSTRY","N"
18590045,"2018-05-25 01:00:00","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","1700 IMPERIAL HWY","LOS ANGELES",,"918-07648-2131","2131","07648","CA01900V3","CENTURY","N"
18590466,"2018-05-25 01:07:30","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","200 S GAGE AVE","LOS ANGELES",,"918-07843-0276","0276","07843","CA0190002","EAST LOS ANGELES","N"
18590161,"2018-05-25 01:30:00","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","13000 SILVERBOW AVE","NORWALK","90650","918-08061-0454","0454","08061","CA0190004","NORWALK","N"
18590063,"2018-05-25 01:50:00","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","43900 20TH ST E","LANCASTER",,"918-10290-1137","1137","10290","CA0190024","LANCASTER","N"
18590224,"2018-05-25 02:00:00","093","GRAND THEFT VEHICLE (GTA): Truck, Motor Home, Cargo Van","2800 LIVE OAK ST","HUNTINGTON PARK","90255","918-07658-2178","2178","07658","CA01900V3","CENTURY","N"
18593482,"2018-05-25 02:15:00","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","45100 DENMORE AVE","LANCASTER",,"918-10535-1132","1132","10535","CA0190024","LANCASTER","N"
